"P id","property label","P domain id","domain","P range id","range",,"TP id","typed property label","typed property example","TP FOL 1","TP FOL 2","TP FOL 3","shortcut statement",,"NTP id","negative typed property label","negative typed property example","NTP FOL 1","NTP FOL 2"
"P1","is identified by (identifies)","E1","CRM Entity","E41","Appellation",,"TP1","is identified by appellation type","book is identified by an ISBN number","TP1(x,y) ⇒ E1(x)","TP1(x,y) ⇒ E55(y)","TP1(x,y) ⇔ (∃ z)[E41(z) ∧ P1(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E1 CRM Entity, _P1 is identified by (identifies)_, E41 Appellation, _P2 has type_, E55 Type",,"NTP1","is not identified by appellation type","book is not identified by ISBN (it does not have an ISBN number)","NTP1(x,y) ⇒ E1(x)","NTP1(x,y) ⇒ E55(y)"
"P48","has preferred identifier (is preferred identifier of)","E1","CRM Entity","E42","Identifier",,"TP48","has preferred identifier of type","MS Sinai XX has preferred identifier Kamil XXX","TP48(x,y) ⇒ E1(x)","TP48(x,y) ⇒ E55(y)","TP48(x,y) ⇔ (∃ z)[E42(z) ∧ P48(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E1 CRM Entity, _P48 has preferred identifier (is preferred identifier of)_, E42 Identifier, _P2 has type_, E55 Type",,"NTP48","does not have preferred identifier of type","MS Sinai XX does not have preferred identifier by Kamil","NTP48(x,y) ⇒ E1(x)","NTP48(x,y) ⇒ E55(y)"
"P102","has title (is title of)","E71","Human-Made Thing","E35","Title",,"TP102","has title of type","text has a chapter title","TP102(x,y) ⇒ E71(x)","TP102(x,y) ⇒ E55(y)","TP102(x,y) ⇔ (∃ z)[E35(z) ∧ P102(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E71 Human-Made Thing, _P102 has title (is title of)_, E35 Title, _P2 has type_, E55 Type",,"NTP102","does not have title of type","text does not have chapter title","NTP102(x,y) ⇒ E71(x)","NTP102(x,y) ⇒ E55(y)"
"P2","has type (is type of)","E1","CRM Entity","E55","Type",,"",,,"","","","This property is a shortcut of the fully developed path: E1 CRM Entity, _P2 has type (is type of)_, E55 Type, _P2 has type_, E55 Type",,"NTP2","does not have type","book is not of binding type “inboard binding”","NTP2(x,y) ⇒ E1(x)","NTP2(x,y) ⇒ E55(y)"
"P137","exemplifies (is exemplified by)","E1","CRM Entity","E55","Type",,"",,,"","","","This property is a shortcut of the fully developed path: E1 CRM Entity, _P137 exemplifies (is exemplified by)_, E55 Type, _P2 has type_, E55 Type",,"NTP137","does not exemplify","specimen XX is not a TYPE specimen for species XXX","NTP137(x,y) ⇒ E1(x)","NTP137(x,y) ⇒ E55(y)"
"P3","has note","E1","CRM Entity","E62","String",,"TP3","has note of type",,"TP3(x,y) ⇒ E1(x)","TP3(x,y) ⇒ E55(y)","TP3(x,y) ⇔ (∃ z)[E62(z) ∧ P3(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E1 CRM Entity, _P3 has note_, E62 String, _P2 has type_, E55 Type",,"NTP3","does not have note of type",,"NTP3(x,y) ⇒ E1(x)","NTP3(x,y) ⇒ E55(y)"
"P79","beginning is qualified by","E52","Time-Span","E62","String",,"TP79","beginning is qualified by note of type",,"TP79(x,y) ⇒ E52(x)","TP79(x,y) ⇒ E55(y)","TP79(x,y) ⇔ (∃ z)[E62(z) ∧ P79(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E52 Time-Span, _P79 beginning is qualified by_, E62 String, _P2 has type_, E55 Type",,"NTP79","beginning is not qualified by note of type",,"NTP79(x,y) ⇒ E52(x)","NTP79(x,y) ⇒ E55(y)"
"P80","end is qualified by","E52","Time-Span","E62","String",,"TP80","end is qualified by note of type",,"TP80(x,y) ⇒ E52(x)","TP80(x,y) ⇒ E55(y)","TP80(x,y) ⇔ (∃ z)[E62(z) ∧ P80(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E52 Time-Span, _P80 end is qualified by_, E62 String, _P2 has type_, E55 Type",,"NTP80","end is not qualified by note of type",,"NTP80(x,y) ⇒ E52(x)","NTP80(x,y) ⇒ E55(y)"
"P190","has symbolic content","E90","Symbolic Object","E62","String",,"TP190","has symbolic content of type",,"TP190(x,y) ⇒ E90(x)","TP190(x,y) ⇒ E55(y)","TP190(x,y) ⇔ (∃ z)[E62(z) ∧ P190(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E90 Symbolic Object, _P190 has symbolic content_, E62 String, _P2 has type_, E55 Type",,"NTP190","does not have symbolic content of type",,"NTP190(x,y) ⇒ E90(x)","NTP190(x,y) ⇒ E55(y)"
"P4","has time-span (is time-span of)","E2","Temporal Entity","E52","Time-Span",,"TP4","has time-span of type",,"TP4(x,y) ⇒ E2(x)","TP4(x,y) ⇒ E55(y)","TP4(x,y) ⇔ (∃ z)[E52(z) ∧ P4(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E2 Temporal Entity, _P4 has time-span (is time-span of)_, E52 Time-Span, _P2 has type_, E55 Type",,"NTP4","does not have time-span of type",,"NTP4(x,y) ⇒ E2(x)","NTP4(x,y) ⇒ E55(y)"
